Topic,X,Y
robot_1,2.09,-0.18
robot_0,1.7,-0.11
robot_1,2.09,-0.18
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_0,1.7,-0.11
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_1,2.09,-0.18
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_0,1.7,-0.11
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.7,-0.11
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.35,-0.24
robot_1,2.09,-0.18
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,4.41,2.44
robot_0,1.7,-0.11
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.35,-0.24
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.35,-0.24
robot_0,-0.78,-0.05
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.35,-0.24
robot_0,-0.78,-0.05
robot_0,-0.78,-0.05
robot_0,4.5,0.1
robot_1,2.09,-0.18
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,4.41,2.44
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,4.41,2.44
robot_1,-1.8,-2.1
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.35,-0.24
robot_0,-0.78,-0.05
robot_0,-0.78,-0.05
robot_0,4.5,0.1
robot_0,4.5,0.1
robot_0,-4.15,1.0
robot_1,2.09,-0.18
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,4.41,2.44
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,4.41,2.44
robot_1,-1.8,-2.1
robot_1,2.09,-0.18
robot_1,-0.39,0.34
robot_1,-1.7,-0.6
robot_1,4.41,2.44
robot_1,-1.8,-2.1
robot_1,0.61,0.5
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.35,-0.24
robot_0,-0.78,-0.05
robot_0,-0.78,-0.05
robot_0,4.5,0.1
robot_0,4.5,0.1
robot_0,-4.15,1.0
robot_0,1.7,-0.11
robot_0,0.8,0.24
robot_0,1.41,0.47
robot_0,1.35,-0.24
robot_0,-0.78,-0.05
robot_0,-0.78,-0.05
robot_0,4.5,0.1
robot_0,4.5,0.1
robot_0,-4.15,1.0
robot_0,4.03,0.63
