Topic,X,Y
robot_1,0.93,0.64
robot_1,0.93,0.64
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,0.93,0.64
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_0,0.39,-1.71
robot_1,0.93,0.64
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_0,0.39,-1.71
robot_0,0.39,-1.71
robot_0,2.69,0.93
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,5.0,1.81
robot_0,0.39,-1.71
robot_0,0.39,-1.71
robot_0,2.69,0.93
robot_0,0.39,-1.71
robot_0,2.69,0.93
robot_0,7.15,-0.85
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,5.0,1.81
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,5.0,1.81
robot_1,5.66,1.53
robot_0,0.39,-1.71
robot_0,0.39,-1.71
robot_0,2.69,0.93
robot_0,0.39,-1.71
robot_0,2.69,0.93
robot_0,7.15,-0.85
robot_0,0.39,-1.71
robot_0,2.69,0.93
robot_0,7.15,-0.85
robot_0,6.6,1.74
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,5.0,1.81
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,5.0,1.81
robot_1,5.66,1.53
robot_1,0.93,0.64
robot_1,0.94,0.38
robot_1,3.29,1.66
robot_1,2.15,0.57
robot_1,2.15,0.57
robot_1,6.5,0.3
robot_1,5.0,1.81
robot_1,5.66,1.53
robot_1,6.91,2.03
