Topic,X,Y
robot_1,0.91,0.86
robot_1,0.91,0.86
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,0.91,0.86
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_0,-2.64,-0.89
robot_1,0.91,0.86
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_0,-2.64,-0.89
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_1,0.91,0.86
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,-1.81,-0.49
robot_0,-2.64,-0.89
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-1.2,-0.56
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,-1.81,-0.49
robot_1,-1.81,-0.49
robot_1,5.36,2.1
robot_0,-2.64,-0.89
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-1.2,-0.56
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-1.2,-0.56
robot_0,-3.2,-3.1
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,-1.81,-0.49
robot_1,-1.81,-0.49
robot_1,5.36,2.1
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,-1.81,-0.49
robot_1,-1.81,-0.49
robot_1,5.36,2.1
robot_1,7.48,2.24
robot_0,-2.64,-0.89
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-1.2,-0.56
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-1.2,-0.56
robot_0,-3.2,-3.1
robot_0,-2.64,-0.89
robot_0,2.6,3.3
robot_0,-1.2,-0.56
robot_0,-3.2,-3.1
robot_0,-5.07,0.8
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,-1.81,-0.49
robot_1,-1.81,-0.49
robot_1,5.36,2.1
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,-1.81,-0.49
robot_1,-1.81,-0.49
robot_1,5.36,2.1
robot_1,7.48,2.24
robot_1,0.91,0.86
robot_1,1.0,0.86
robot_1,3.97,2.09
robot_1,1.33,0.72
robot_1,-1.81,-0.49
robot_1,-1.81,-0.49
robot_1,5.36,2.1
robot_1,7.48,2.24
robot_1,7.9,1.9
