Topic,X,Y
robot_1,0.9,0.45
robot_0,2.04,-0.39
robot_1,0.9,0.45
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,0.9,0.45
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,0.9,0.45
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_0,2.04,-0.39
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_0,2.04,-0.39
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_0,2.04,-0.39
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,1.85,-0.09
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_1,4.95,-0.15
robot_0,2.04,-0.39
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,1.85,-0.09
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,1.85,-0.09
robot_0,4.0,-0.3
robot_0,2.04,-0.39
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,1.85,-0.09
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,1.85,-0.09
robot_0,4.0,-0.3
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,1.85,-0.09
robot_0,4.0,-0.3
robot_0,4.0,1.7
robot_0,2.04,-0.39
robot_0,2.79,-0.32
robot_0,1.02,0.7
robot_0,1.85,-0.09
robot_0,4.0,-0.3
robot_0,4.0,1.7
robot_0,4.0,1.7
robot_0,3.68,-0.01
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_1,4.95,-0.15
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_1,4.95,-0.15
robot_1,4.24,-0.47
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
robot_1,0.99,0.1
robot_1,1.28,0.5
robot_1,1.92,-0.06
robot_1,1.02,0.7
robot_1,4.95,-0.15
robot_1,0.9,0.45
robot_1,1.28,0.5
robot_1,1.16,0.62
robot_1,1.27,0.46
robot_1,1.28,0.5
