Topic,X,Y
robot_1,3.0,1.0
robot_0,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,0.0,2.0
robot_0,3.0,1.0
robot_0,3.0,1.0
robot_0,6.0,1.0
robot_0,3.0,1.0
robot_0,3.0,1.0
robot_0,6.0,1.0
robot_0,3.0,1.0
robot_0,6.0,1.0
robot_0,1.0,4.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,0.0,2.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,0.0,2.0
robot_1,-3.0,-1.0
robot_0,3.0,1.0
robot_0,3.0,1.0
robot_0,6.0,1.0
robot_0,3.0,1.0
robot_0,6.0,1.0
robot_0,1.0,4.0
robot_0,3.0,1.0
robot_0,6.0,1.0
robot_0,1.0,4.0
robot_0,4.0,0.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,0.0,2.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,0.0,2.0
robot_1,-3.0,-1.0
robot_1,3.0,1.0
robot_1,3.0,1.0
robot_1,0.0,2.0
robot_1,-3.0,-1.0
robot_1,4.0,0.0
